phase,step,loss,avg_tour,entropy,eval_avg_tour,inference_ms
train,0,-5.349130630493164,4.8304524421691895,0.05,,
train,10,-0.5357397794723511,3.6432981491088867,0.045500000000000006,,
train,20,-0.48149818181991577,3.4430623054504395,0.04100000000000001,,
train,30,-0.7690215110778809,3.21604061126709,0.0365,,
train,40,-0.6118990778923035,3.1309971809387207,0.032,,
train,50,-0.41451358795166016,3.293372631072998,0.0275,,
train,60,-0.29467153549194336,3.216113567352295,0.023000000000000003,,
train,70,-0.2681999206542969,3.3319947719573975,0.018500000000000003,,
train,80,-0.3449154496192932,3.0712265968322754,0.013999999999999999,,
train,90,-0.3898693025112152,3.292513132095337,0.0095,,
eval,,,,,3.1393916964530946,723.8923892004095
